track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Cassidys Girl (IRE),B. P. Kennedy,7,J. F. O'Shea,PU,N/A,7,10-13b,80,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Getaway Molly (IRE),Mr I. Ryan,7,Patrick Rooney,14th,3 1/2 l,7,11-3p,84,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Spring Street (IRE),D. E. Mullins,0,J. P. Flavin,13th,13 l,5,11-9p,90,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Desertmore Glen,S. Fitzgerald,3,Denis Leahy,12th,1 l,10,11-0p1,81,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Rewrite The Script (IRE),Miss M. O'Sullivan,5,Eugene M. O'Sullivan,11th,44 l,6,11-5t1,86,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Western Dreaming (FR),C. Brassil,5,Mrs Jayne Hearne,10th,3/4 l,8,11-1t,82,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Nomadic Star (IRE),D. King,5,L. Young,9th,Head,8,10-13p,80,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Poker Night (IRE),M. P. O'Connor,5,R. P. Cody,8th,3/4 l,5,11-4t1,85,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Double Windsor (IRE),Sean Flanagan,0,David M. O'Brien,7th,3/4 l,11,10-13b,80,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Tick Along (IRE),Thomas Reilly,7,T. G. McCourt,6th,Neck,9,11-12,93,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Tennessee Titan (IRE),J. J. Slevin,0,Seamus Neville,5th,11 l,7,11-11,92,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Beechroad Winnie (IRE),S. D. Torrens,0,P. J. Rothwell,4th,2 1/4 l,7,11-0,81,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Royal Recital (IRE),Shane O'Callaghan,7,Ross O'Sullivan,3rd,1/2 l,8,11-9p,90,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Kilmurry Jj (IRE),A. M. McCurtin,0,Michael Barry,2nd,Neck,6,11-8t,89,True,60,25
Tramore Racing Results | 2nd June 2023 19:50,N/A,19:50,Good,2m 5f 30y,Costanuci (IRE),A. P. Kelly,7,John Queally,1st,N/A,6,11-8,89,True,60,25
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Elusive P (IRE),Miss T. Quail,7,Mark John Scallan,10th,31 l,5,12-0,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Lough Muskry (IRE),Miss A. T. McCarthy,7,John Joseph Hanlon,9th,18 l,4,11-9,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,The Border Boy (IRE),Miss C. H. McAuliffe,7,Sean Aherne,8th,2 1/4 l,6,12-0h1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Ballysheedy (IRE),Miss M. O'Sullivan,5,M. F. Morris,7th,2 3/4 l,5,12-0ht1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Younowhatimean (IRE),Sarah Kavanagh,0,Eoin Christopher McCarthy,6th,12 l,6,12-0t,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Lily's Choice (IRE),Miss R. Dudfield,7,W. P. Mullins,5th,1/2 l,5,11-7,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Walmix (FR),Miss A. Hourigan,7,Anthony Mullins,4th,1 1/4 l,5,12-0h1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Royal Moon (IRE),Ms R. M. O'Grady,7,E. J. O'Grady,3rd,9 l,5,12-0t1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Barton Snow (IRE),Miss M. M. McElligott,7,W. P. Murphy,2nd,Neck,6,12-0,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Chef D'etat (IRE),Ms T. Kingsley,7,John Joseph Hanlon,1st,N/A,4,11-9,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Elusive P (IRE),Miss T. Quail,7,Mark John Scallan,10th,31 l,5,12-0,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Lough Muskry (IRE),Miss A. T. McCarthy,7,John Joseph Hanlon,9th,18 l,4,11-9,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,The Border Boy (IRE),Miss C. H. McAuliffe,7,Sean Aherne,8th,2 1/4 l,6,12-0h1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Ballysheedy (IRE),Miss M. O'Sullivan,5,M. F. Morris,7th,2 3/4 l,5,12-0ht1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Younowhatimean (IRE),Sarah Kavanagh,0,Eoin Christopher McCarthy,6th,12 l,6,12-0t,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Lily's Choice (IRE),Miss R. Dudfield,7,W. P. Mullins,5th,1/2 l,5,11-7,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Walmix (FR),Miss A. Hourigan,7,Anthony Mullins,4th,1 1/4 l,5,12-0h1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Royal Moon (IRE),Ms R. M. O'Grady,7,E. J. O'Grady,3rd,9 l,5,12-0t1,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Barton Snow (IRE),Miss M. M. McElligott,7,W. P. Murphy,2nd,Neck,6,12-0,-,True,60,26
Tramore Racing Results | 2nd June 2023 20:20,N/A,20:20,Good  Flat (Turf),2m 120y,Chef D'etat (IRE),Ms T. Kingsley,7,John Joseph Hanlon,1st,N/A,4,11-9,-,True,60,26
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Struell Duchess (IRE),J. S. McGarvey,0,S. Wilson,PU,N/A,9,10-9,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Lockdown Daisy (IRE),Miss A. McGuinness,7,J. J. Lambe,PU,N/A,6,10-9p1,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Sandymount Baby (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,5th,13 l,6,10-9,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Bayonetta (IRE),Liam Quinlan,5,Gerald Stephen Quinn,4th,6 l,5,10-9p1,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Cash The Cheque (IRE),Conor Orr,0,Anthony McCann,3rd,14 l,5,10-9h,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Lady of the Vale (IRE),Mr A. P. Ryan,7,A. Slattery,2nd,4 1/4 l,6,10-13,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Shesadream (IRE),D. J. Gilligan,7,Gordon Elliott,1st,N/A,6,11-3,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Struell Duchess (IRE),J. S. McGarvey,0,S. Wilson,PU,N/A,9,10-9,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Lockdown Daisy (IRE),Miss A. McGuinness,7,J. J. Lambe,PU,N/A,6,10-9p1,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Sandymount Baby (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,5th,13 l,6,10-9,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Bayonetta (IRE),Liam Quinlan,5,Gerald Stephen Quinn,4th,6 l,5,10-9p1,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Cash The Cheque (IRE),Conor Orr,0,Anthony McCann,3rd,14 l,5,10-9h,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Lady of the Vale (IRE),Mr A. P. Ryan,7,A. Slattery,2nd,4 1/4 l,6,10-13,-,True,60,27
Down Royal Racing Results | 2nd June 2023 17:30,N/A,17:30,Good,2m 180y,Shesadream (IRE),D. J. Gilligan,7,Gordon Elliott,1st,N/A,6,11-3,-,True,60,27
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Kalsman (IRE),Patrick O'Hanlon,5,Liam Lennon,UR,N/A,5,11-4h1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,C,N/A,6,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,My Kurkum,Peter Carberry,0,A. J. Martin,9th,11 l,5,11-12,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Mille Miglia,M. M. McDonagh,5,Colin A. McBratney,8th,10 l,5,11-5p,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Deep Sigh (FR),B. W. Harvey,5,John McConnell,7th,1 l,5,11-5t,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Supposedtobe (IRE),Mr O. McGill,7,Noel C. Kelly,6th,4 1/2 l,5,11-12,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Franno (IRE),R. A. Doyle,0,Gerard Keane,5th,Head,6,11-5,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Valsorpresa,D. J. Gilligan,7,Gordon Elliott,4th,3 3/4 l,5,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Atreides (IRE),R. J. Condon,5,Colm A. Murphy,3rd,1 3/4 l,5,11-4t1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Master Splinter (IRE),Jack Foley,0,Mary E Doyle,2nd,Neck,6,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Pro Bono (IRE),Philip Donovan,5,C. W. J. Farrell,1st,N/A,8,11-12t1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Kalsman (IRE),Patrick O'Hanlon,5,Liam Lennon,UR,N/A,5,11-4h1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,C,N/A,6,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,My Kurkum,Peter Carberry,0,A. J. Martin,9th,11 l,5,11-12,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Mille Miglia,M. M. McDonagh,5,Colin A. McBratney,8th,10 l,5,11-5p,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Deep Sigh (FR),B. W. Harvey,5,John McConnell,7th,1 l,5,11-5t,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Supposedtobe (IRE),Mr O. McGill,7,Noel C. Kelly,6th,4 1/2 l,5,11-12,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Franno (IRE),R. A. Doyle,0,Gerard Keane,5th,Head,6,11-5,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Valsorpresa,D. J. Gilligan,7,Gordon Elliott,4th,3 3/4 l,5,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Atreides (IRE),R. J. Condon,5,Colm A. Murphy,3rd,1 3/4 l,5,11-4t1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Master Splinter (IRE),Jack Foley,0,Mary E Doyle,2nd,Neck,6,11-4,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:00,N/A,18:00,Good,2m 180y,Pro Bono (IRE),Philip Donovan,5,C. W. J. Farrell,1st,N/A,8,11-12t1,-,True,60,28
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Alkascotch (IRE),R. P. Geoghegan,4,Stuart Crawford,PU,N/A,5,10-11p1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Tiz All Hush Hush (IRE),P. T. Smithers,4,R. K. Watson,PU,N/A,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Stadium Talk (IRE),B. W. Harvey,0,John McConnell,11th,12 l,5,11-5,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Iguis (FR),J. P. Shinnick,4,Paul Traynor,10th,17 l,5,11-4p1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Noble Annys (IRE),Corey McGivern,4,John Joseph Winston,9th,2 l,5,10-11p,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Heart Of Rome (IRE),Jack G. Gilligan,4,Paul Nolan,8th,6 1/2 l,4,10-12,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Royal Class (IRE),N. J. Ryan,4,Joseph Anthony Murray,7th,16 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,The Bridge House (IRE),Shane Fenelon,4,John Joseph Hanlon,6th,1/2 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Alkajack (IRE),Patrick O'Hanlon,0,Stuart Crawford,5th,7 l,5,11-4v1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,J'adore Chas (FR),Liam Quinlan,2,Gerald Stephen Quinn,4th,Neck,4,10-12,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Noble Blue (FR),J. P. O'Sullivan,0,Paul Nolan,3rd,9 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Marv Michael (IRE),H. Morgan,0,Henry de Bromhead,2nd,1/2 l,5,11-4t1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Ochocinco (IRE),L. A. McKenna,2,Colm A. Murphy,1st,N/A,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Alkascotch (IRE),R. P. Geoghegan,4,Stuart Crawford,PU,N/A,5,10-11p1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Tiz All Hush Hush (IRE),P. T. Smithers,4,R. K. Watson,PU,N/A,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Stadium Talk (IRE),B. W. Harvey,0,John McConnell,11th,12 l,5,11-5,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Iguis (FR),J. P. Shinnick,4,Paul Traynor,10th,17 l,5,11-4p1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Noble Annys (IRE),Corey McGivern,4,John Joseph Winston,9th,2 l,5,10-11p,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Heart Of Rome (IRE),Jack G. Gilligan,4,Paul Nolan,8th,6 1/2 l,4,10-12,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Royal Class (IRE),N. J. Ryan,4,Joseph Anthony Murray,7th,16 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,The Bridge House (IRE),Shane Fenelon,4,John Joseph Hanlon,6th,1/2 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Alkajack (IRE),Patrick O'Hanlon,0,Stuart Crawford,5th,7 l,5,11-4v1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,J'adore Chas (FR),Liam Quinlan,2,Gerald Stephen Quinn,4th,Neck,4,10-12,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Noble Blue (FR),J. P. O'Sullivan,0,Paul Nolan,3rd,9 l,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Marv Michael (IRE),H. Morgan,0,Henry de Bromhead,2nd,1/2 l,5,11-4t1,-,True,60,29
Down Royal Racing Results | 2nd June 2023 18:30,N/A,18:30,Good,2m 4f 80y,Ochocinco (IRE),L. A. McKenna,2,Colm A. Murphy,1st,N/A,5,11-4,-,True,60,29
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Dont Doubt Me (IRE),J. P. O'Sullivan,5,P. J. Rothwell,PU,N/A,7,11-5p,93,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,I Am Spider Man (IRE),M. M. McDonagh,5,Charles Byrnes,PU,N/A,6,11-4,92,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Uberrima Fides,Patrick O'Hanlon,5,Stuart Crawford,11th,22 l,4,10-8v,88,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Toor Moment (IRE),Liam Quinlan,5,Ms M. Flynn,10th,24 l,8,11-3,91,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Val the Man (IRE),D. J. O'Keeffe,0,Cian Michael Collins,9th,4 l,6,12-0p,102,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Kelce (IRE),R. J. Condon,5,Colm A. Murphy,8th,1 l,5,11-13,101,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Skol,Miss A. McGuinness,7,J. J. Lambe,7th,4 3/4 l,7,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Lariat (USA),L. A. McKenna,5,J. J. Lambe,6th,5 l,7,11-9p,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Lakefield Flyer (IRE),J. S. McGarvey,0,John Joseph Hanlon,5th,1 1/4 l,5,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Attitash (IRE),Caragh Monaghan,7,Ian Patrick Donoghue,4th,Neck,8,11-1t,89,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Inforapenny (IRE),B. W. Harvey,5,Mark Fahey,3rd,1/2 l,7,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Serpolette (IRE),Phillip Enright,0,E. D. Delany,2nd,2 1/4 l,8,11-2t,90,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Movie King (IRE),Mr B. M. Coonan,7,A. J. Martin,1st,N/A,6,11-2t,90,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Dont Doubt Me (IRE),J. P. O'Sullivan,5,P. J. Rothwell,PU,N/A,7,11-5p,93,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,I Am Spider Man (IRE),M. M. McDonagh,5,Charles Byrnes,PU,N/A,6,11-4,92,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Uberrima Fides,Patrick O'Hanlon,5,Stuart Crawford,11th,22 l,4,10-8v,88,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Toor Moment (IRE),Liam Quinlan,5,Ms M. Flynn,10th,24 l,8,11-3,91,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Val the Man (IRE),D. J. O'Keeffe,0,Cian Michael Collins,9th,4 l,6,12-0p,102,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Kelce (IRE),R. J. Condon,5,Colm A. Murphy,8th,1 l,5,11-13,101,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Skol,Miss A. McGuinness,7,J. J. Lambe,7th,4 3/4 l,7,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Lariat (USA),L. A. McKenna,5,J. J. Lambe,6th,5 l,7,11-9p,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Lakefield Flyer (IRE),J. S. McGarvey,0,John Joseph Hanlon,5th,1 1/4 l,5,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Attitash (IRE),Caragh Monaghan,7,Ian Patrick Donoghue,4th,Neck,8,11-1t,89,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Inforapenny (IRE),B. W. Harvey,5,Mark Fahey,3rd,1/2 l,7,11-9,97,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Serpolette (IRE),Phillip Enright,0,E. D. Delany,2nd,2 1/4 l,8,11-2t,90,True,60,30
Down Royal Racing Results | 2nd June 2023 19:00,N/A,19:00,Good,2m 4f 80y,Movie King (IRE),Mr B. M. Coonan,7,A. J. Martin,1st,N/A,6,11-2t,90,True,60,30
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Bravo Team (IRE),P. T. Cleary,7,Gordon Elliott,UR,N/A,7,11-12tp,120,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Imperial Ruler (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,UR,N/A,6,11-6,114,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Lighthouse Rose (IRE),Peter Carberry,0,Mark McNiff,10th,1/2 l,8,11-4p,112,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Feigh (IRE),Shane Fenelon,7,John Joseph Hanlon,9th,2 1/4 l,5,11-5,113,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Millen to One (IRE),C. Smithers,7,F. Flood,8th,15 l,9,11-1b1,109,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Hearts Are Trumps (IRE),J. S. McGarvey,0,Desmond McDonogh,7th,4 l,10,11-6,114,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Ceroc (IRE),Phillip Enright,0,E. J. O'Grady,6th,6 l,5,11-8v,116,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,I Don't Get It (IRE),J. P. O'Sullivan,5,Neill McCluskey,5th,6 1/2 l,9,11-3,111,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Rodney Bay (IRE),S. F. O'Keeffe,0,Joseph Anthony Murray,4th,3 3/4 l,6,11-5,113,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Francois (FR),Jack Foley,0,Mary E Doyle,3rd,7 l,8,11-8tp,116,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Ossifer Hops (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,2 1/2 l,5,11-5,113,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Building Bridges,Mr O. McGill,7,Gary McGill,1st,N/A,7,11-5,113,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Bravo Team (IRE),P. T. Cleary,7,Gordon Elliott,UR,N/A,7,11-12tp,120,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Imperial Ruler (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,UR,N/A,6,11-6,114,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Lighthouse Rose (IRE),Peter Carberry,0,Mark McNiff,10th,1/2 l,8,11-4p,112,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Feigh (IRE),Shane Fenelon,7,John Joseph Hanlon,9th,2 1/4 l,5,11-5,113,True,60,31
Down Royal Racing Results | 2nd June 2023 19:30,N/A,19:30,Good,2m 4f 80y,Millen to One (IRE),C. Smithers,7,F. Flood,8th,15 l,9,11-1b1,109,True,60,31
